location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
Shek Kong,2020,1,26,***,***,15.1,87,26.5,0,Green
Shek Kong,2020,1,27,***,***,12,68,0,0,Green
Shek Kong,2020,1,28,***,***,11.8,60,0,0,Green
Shek Kong,2020,1,29,***,***,12.2,52,0,0,Green
Shek Kong,2020,1,30,***,***,13.2,40,0,0,Green
Shek Kong,2020,1,31,***,***,12.4,54,0,0,Green
Shek Kong,2020,2,1,***,***,14.6,69,0,0,Green
Shek Kong,2020,2,2,***,***,17.8,72,0,0,Green
Shek Kong,2020,2,3,***,***,18,77,0.5,0,Green
Shek Kong,2020,2,4,***,***,16.8,82,3.5,0,Green
Shek Kong,2020,2,5,***,***,17.5,81,0,0,Green
Shek Kong,2020,2,6,***,***,17.5,76,0,0,Green
Shek Kong,2020,2,7,***,***,18.6,80,0,0,Green
Shek Kong,2020,2,8,***,***,16.5,75,0,0,Green
Shek Kong,2020,2,9,***,***,16.1,69,0,0,Green
Shek Kong,2020,2,10,***,***,16.5,73,0,0,Green
Shek Kong,2020,2,11,***,***,17.9,85,0.5,0,Green
Shek Kong,2020,2,12,***,***,20.4,89,0,0,Green
Shek Kong,2020,2,13,***,***,18.8,96,14,105,Amber
Shek Kong,2020,2,14,***,***,21.8,88,11.5,0,Green
Shek Kong,2020,2,15,***,***,23,86,2,0,Green
Shek Kong,2020,2,16,***,***,13.3,77,14,0,Green
Shek Kong,2020,2,17,***,***,12.4,46,0,0,Green
Shek Kong,2020,2,18,***,***,12.9,53,0,0,Green
Shek Kong,2020,2,19,***,***,15.8,64,0,0,Green
Shek Kong,2020,2,20,***,***,17,67,0,0,Green
Shek Kong,2020,2,21,***,***,19.3,66,0,0,Green
Shek Kong,2020,2,22,***,***,19.6,72,0,0,Green
Shek Kong,2020,2,23,***,***,20.9,63,0,0,Green
Shek Kong,2020,2,24,***,***,20.7,69,0,0,Green
Shek Kong,2020,2,25,***,***,21.1,86,0,0,Green
Shek Kong,2020,2,26,***,***,22.5,82,0,0,Green
Shek Kong,2020,2,27,***,***,20.5,82,0,0,Green
Shek Kong,2020,2,28,***,***,21.1,75,0,0,Green
