_id,location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
6631e2b4aa38843775c15372,Sha Tin,2019,5,23,5.3,100,25.5,88,4.5,0,Green
6631e2b4aa38843775c15377,Sha Tin,2019,5,28,4.1,360,25.8,91,42,135,Amber
6631e2b4aa38843775c15379,Sha Tin,2019,5,30,7.2,90,24.4,85,3,0,Green
6631e2b4aa38843775c1537b,Sha Tin,2019,6,1,10.6,220,27.2,86,36,230,Amber
6631e2b4aa38843775c1537c,Sha Tin,2019,6,2,10.2,210,27.2,85,1.5,60,Amber
6631e2b4aa38843775c15385,Sha Tin,2019,6,11,4.5,40,25.9,92,11.5,0,Green
6631e2b4aa38843775c15388,Sha Tin,2019,6,14,5.8,50,28.4,73,2,0,Green
6631e2b4aa38843775c1538a,Sha Tin,2019,6,16,6.3,80,***,***,***,0,Green
6631e2b4aa38843775c1538b,Sha Tin,2019,6,17,5.5,110,28,86,12,0,Green
6631e2b4aa38843775c1538c,Sha Tin,2019,6,18,3.6,170,28.6,85,7.5,0,Green
6631e2b4aa38843775c15390,Sha Tin,2019,6,22,15.8,220,30.5,77,1.5,0,Green
6631e2b4aa38843775c15393,Sha Tin,2019,6,25,3.3,30,26.9,89,25.5,0,Green
6631e2b4aa38843775c15395,Sha Tin,2019,6,27,9.3,230,30.2,80,0,0,Green
6631e2b4aa38843775c15396,Sha Tin,2019,6,28,6.6,220,30.3,81,2.5,0,Green
6631e2b4aa38843775c15398,Sha Tin,2019,6,30,5,220,29.8,81,3,0,Green
6631e2b4aa38843775c153a2,Sha Tin,2019,7,10,8.6,220,28.3,87,42.5,100,Amber
6631e2b4aa38843775c15364,Sha Tin,2019,5,9,5.3,360,22.8,87,5.5,0,Green
6631e2b4aa38843775c1536a,Sha Tin,2019,5,15,8.5,220,28.5,83,0.5,0,Green
6631e2b4aa38843775c1536f,Sha Tin,2019,5,20,7.9,220,28.9,82,13.5,0,Green
6631e2b4aa38843775c15373,Sha Tin,2019,5,24,7.5,90,24.9,88,4,0,Green
6631e2b4aa38843775c1537a,Sha Tin,2019,5,31,5.8,70,25.8,90,4.5,0,Green
6631e2b4aa38843775c15380,Sha Tin,2019,6,6,7.6,220,29.8,76,0,0,Green
6631e2b4aa38843775c15381,Sha Tin,2019,6,7,10.4,220,29.9,76,0,0,Green
6631e2b4aa38843775c15387,Sha Tin,2019,6,13,7,360,27.7,85,11,80,Amber
6631e2b4aa38843775c1538d,Sha Tin,2019,6,19,6.5,220,28.9,84,5.5,0,Green
6631e2b4aa38843775c1538f,Sha Tin,2019,6,21,16.4,220,30.6,77,0.5,0,Green
6631e2b4aa38843775c15392,Sha Tin,2019,6,24,9.6,210,28.5,87,40,0,Green
6631e2b4aa38843775c15394,Sha Tin,2019,6,26,6.9,220,28.4,85,1,0,Green
6631e2b4aa38843775c15397,Sha Tin,2019,6,29,9,220,31,77,2,0,Green
6631e2b4aa38843775c1539a,Sha Tin,2019,7,2,7.8,90,29,80,18,0,Green
6631e2b4aa38843775c153a0,Sha Tin,2019,7,8,15.1,220,30.4,75,0.5,0,Green
6631e2b4aa38843775c153a3,Sha Tin,2019,7,11,6.3,220,28.3,87,19,0,Green
6631e2b4aa38843775c153a4,Sha Tin,2019,7,12,12.1,220,29.9,79,0,0,Green
6631e2b4aa38843775c153a5,Sha Tin,2019,7,13,16.6,220,30,77,1,0,Green
